epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3698,3.89699,12.0486,2.24685,0,0,0,0,0.11224,39.0536,0.06766,0.000653333,0.000653333,0.000653333
2,85.4666,3.64496,2.06231,1.46902,0,0,0,0,0.06536,22.4014,0.03947,0.00130693,0.00130693,0.00130693
3,130.851,2.95043,1.51155,1.12189,0.30955,0.21542,0.15672,0.03892,3.39388,2.05337,1.26404,0.00194733,0.00194733,0.00194733
4,178.906,2.65845,1.30855,1.04442,0.61098,0.56957,0.51573,0.13771,2.70953,1.483,1.04851,0.0019406,0.0019406,0.0019406
5,230.201,2.50671,1.22741,1.01457,0.66046,0.64584,0.66198,0.24835,2.23992,1.13802,0.96726,0.0019208,0.0019208,0.0019208
6,281.022,2.32305,1.13365,0.98785,0.70627,0.667,0.71464,0.30997,2.03544,1.08788,0.94742,0.001901,0.001901,0.001901
7,330.264,2.25162,1.09071,0.98089,0.75865,0.64723,0.70851,0.31337,1.99598,1.22922,0.94159,0.0018812,0.0018812,0.0018812
8,382.575,2.17953,1.03558,0.97427,0.73423,0.68775,0.75066,0.33852,1.89204,0.99771,0.91926,0.0018614,0.0018614,0.0018614
9,434.283,2.05153,0.98017,0.95951,0.74226,0.70257,0.77494,0.3489,1.957,0.97992,0.91709,0.0018416,0.0018416,0.0018416
10,483.711,2.072,0.99077,0.95702,0.74595,0.63142,0.67455,0.26383,2.18148,1.07441,0.95141,0.0018218,0.0018218,0.0018218
11,535.067,1.99271,0.95494,0.94685,0.75687,0.62137,0.7233,0.33024,1.99555,1.00958,0.91529,0.001802,0.001802,0.001802
12,586.221,2.03767,0.90905,0.93732,0.79432,0.68308,0.7861,0.39008,1.75094,0.90099,0.89733,0.0017822,0.0017822,0.0017822
13,636.245,1.87519,0.87974,0.92273,0.76491,0.71699,0.80002,0.40405,1.76794,0.84106,0.91389,0.0017624,0.0017624,0.0017624
14,687.224,1.88419,0.89601,0.92471,0.78452,0.70155,0.78739,0.34405,1.95808,0.90496,0.89973,0.0017426,0.0017426,0.0017426
